id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
113631,2,1,28,2,2,258,0,2,0,4,4,0,4,4,3,1,4,3,3,4,1,0,1
75483,1,1,46,2,2,2342,2,3,2,2,1,2,1,1,4,4,5,4,5,1,0,2,0
81710,2,0,36,1,1,907,2,1,1,1,4,1,4,4,3,3,4,4,4,4,0,0,0
66956,1,1,51,1,1,964,3,3,3,3,2,4,5,5,5,5,5,5,5,5,28,8,1
37574,1,1,46,1,2,628,3,2,2,2,3,3,3,3,2,5,4,4,3,3,0,0,0
80512,1,1,36,2,2,1749,2,4,2,4,5,2,3,5,2,2,4,1,3,5,23,4,0
129083,2,1,44,1,1,2342,4,4,4,4,5,4,4,4,4,4,4,4,4,5,36,1,1
78863,1,1,57,1,1,2617,2,2,2,2,2,4,4,4,4,4,4,4,4,5,0,5,1
102809,1,1,55,1,1,342,3,3,3,3,2,4,5,4,4,4,4,3,4,4,61,6,1
66828,1,0,39,1,1,731,2,2,2,3,4,2,4,4,3,2,4,5,5,4,0,0,0
80080,1,1,43,1,1,2129,4,4,2,4,4,5,4,5,5,5,5,5,5,3,0,0,1
126487,1,1,33,1,1,1972,4,4,3,4,5,5,5,5,3,1,1,3,1,5,0,0,1
1589,1,1,36,2,2,140,3,3,3,3,5,3,5,5,1,1,1,3,3,5,4,0,0
70696,1,1,51,1,3,447,3,2,5,2,3,3,3,3,4,1,2,5,3,3,0,1,1
111572,1,0,21,1,2,483,2,4,2,3,1,2,1,1,1,5,4,3,3,1,32,6,0
25797,2,1,59,2,2,762,3,5,3,1,2,4,4,4,4,3,4,3,4,5,0,2,0
115402,1,1,34,1,1,2581,4,4,4,4,5,5,4,4,4,4,4,4,4,3,0,0,1
97306,2,0,29,1,2,872,4,4,4,4,3,4,5,3,3,4,3,3,3,3,0,0,0
76878,2,1,45,1,1,630,1,1,1,1,2,5,5,3,3,3,3,3,3,5,0,1,1
58651,2,0,23,1,2,467,2,0,2,2,2,2,2,2,1,3,2,4,3,2,7,0,0
34454,2,1,58,2,2,228,2,4,2,1,4,4,4,5,5,2,5,5,5,3,0,0,0
84095,2,1,54,1,1,757,1,1,1,1,2,5,5,3,3,3,3,5,3,5,0,0,1
32245,2,1,31,1,1,101,1,1,5,1,4,4,5,4,4,4,5,5,1,4,0,0,1
84412,2,1,11,2,2,633,1,5,1,2,5,1,5,5,4,2,5,3,4,5,0,0,0
53901,1,1,23,2,2,191,2,4,2,1,5,2,5,5,1,5,1,2,3,5,11,2,0
36871,2,1,13,2,2,273,3,2,3,3,2,3,4,2,2,4,4,3,3,2,0,0,0
115119,1,1,58,1,1,372,2,2,2,2,2,4,4,4,4,5,4,4,4,5,13,1,1
8004,2,1,44,2,1,125,5,2,5,2,5,1,2,1,1,5,1,4,1,4,0,0,1
81639,1,0,17,1,2,907,2,2,2,3,4,2,4,4,4,3,4,1,3,4,0,0,0
107365,2,1,21,2,2,632,1,5,1,4,2,1,4,2,4,2,5,4,5,2,9,,0
98904,2,1,34,1,1,543,5,5,4,5,2,5,4,4,4,4,4,3,4,5,6,6,1
61048,2,1,38,1,1,1546,1,1,1,1,5,4,5,4,4,4,4,4,4,3,7,1,1
66077,1,1,27,2,2,1055,2,5,1,3,1,1,1,1,5,5,4,4,5,1,0,0,0
7346,2,1,70,2,2,606,4,3,4,2,2,4,5,4,4,4,4,5,4,5,0,0,1
96882,1,1,56,2,2,994,3,5,3,3,1,3,1,1,5,3,3,1,2,1,9,0,0
7710,2,1,52,1,3,604,3,1,1,1,2,4,3,3,3,3,3,2,3,1,0,0,0
7730,2,1,40,2,2,806,2,1,2,3,3,2,3,3,2,3,3,2,3,3,0,0,0
110475,2,1,64,2,2,883,4,3,5,3,4,2,5,4,4,5,4,1,4,4,12,9,0
107311,1,1,13,2,2,283,2,1,2,3,3,2,5,3,1,5,4,4,4,3,52,3,0
74407,1,1,23,1,1,1602,4,4,4,4,3,3,3,3,4,4,5,4,5,3,0,1,1
3717,2,1,62,2,2,431,3,4,3,4,4,5,5,1,1,3,1,5,1,5,4,0,0
120704,2,1,24,2,2,280,3,4,3,4,2,3,2,2,5,3,5,3,5,2,0,0,0
4569,2,1,23,2,2,561,2,1,2,3,4,2,4,4,1,5,4,3,3,4,0,0,0
60170,2,1,17,2,2,1050,2,4,2,3,2,2,2,2,1,4,5,1,3,2,2,5,0
83116,1,1,14,2,2,1127,3,5,4,4,3,4,3,3,4,2,5,4,4,3,0,0,0
6915,2,1,27,2,2,265,4,3,4,3,5,4,5,5,1,4,1,2,3,5,0,0,0
5401,2,1,64,2,2,812,3,3,3,3,3,1,3,2,2,3,2,5,2,5,0,0,0
42674,1,1,23,1,1,2270,3,4,4,4,3,3,3,3,1,4,3,3,2,3,0,0,0
75071,2,1,68,1,1,3033,1,1,4,1,3,2,4,5,5,5,5,1,5,3,0,0,1
106016,1,1,42,1,1,1999,3,3,3,3,3,5,4,5,5,5,5,3,5,3,8,0,1
62934,1,1,42,1,1,3331,2,2,2,2,3,5,5,5,5,5,5,4,5,5,0,0,1
80967,1,1,52,1,1,2992,3,3,3,3,4,4,4,5,5,5,5,3,5,5,0,0,1
43196,1,1,27,2,2,651,2,1,2,4,1,2,1,1,3,1,3,1,3,1,0,0,0
66335,1,0,54,1,1,986,1,1,1,3,1,1,1,1,5,2,5,3,5,1,0,0,0
128325,2,0,32,1,1,338,2,2,2,4,4,2,4,4,4,4,4,5,4,4,0,0,0
79535,2,1,41,1,1,762,2,2,2,2,2,5,4,4,4,4,4,3,4,5,0,0,1
71539,1,1,58,1,1,1005,2,2,2,2,5,4,5,5,5,5,5,3,5,3,7,0,1
124642,2,0,21,1,2,399,4,0,4,2,3,4,3,3,5,4,5,5,4,3,0,0,1
27712,2,1,26,1,1,1448,4,4,4,4,4,4,4,4,4,2,3,3,3,4,5,0,0
82178,1,1,7,2,3,311,4,5,4,3,4,4,4,4,3,2,4,3,4,4,0,0,0
97477,1,1,53,1,1,756,3,3,3,3,4,4,5,4,4,4,4,5,4,3,18,4,1
90773,1,1,48,1,1,2889,5,5,2,5,4,4,5,5,5,4,5,4,5,4,0,0,1
3006,2,1,43,1,1,987,1,1,1,1,2,5,5,5,5,5,5,4,5,5,11,1,1
82370,1,1,50,1,1,3929,3,3,3,3,3,4,5,4,4,4,4,5,4,3,18,5,1
95636,2,1,57,2,2,670,1,5,1,4,3,4,5,5,5,1,5,5,5,5,55,6,0
17846,1,0,28,1,2,636,3,3,3,3,2,3,2,2,1,4,3,1,3,2,0,,0
126488,2,0,47,1,2,349,3,0,3,1,1,3,1,1,2,2,4,5,2,1,0,0,0
3497,2,1,26,2,2,1080,4,4,4,5,4,4,4,4,3,5,5,5,4,4,5,7,0
47259,1,1,36,1,1,184,2,2,2,2,2,5,4,5,5,5,5,5,5,5,28,0,1
93638,2,1,19,2,2,577,1,4,1,1,3,1,2,3,4,4,4,3,5,3,4,2,0
110783,1,1,25,1,1,3491,2,5,5,5,2,2,2,2,4,3,3,4,4,2,90,7,0
104673,2,1,22,2,2,641,3,5,4,1,2,4,2,2,5,2,5,4,5,2,41,5,0
29788,2,1,40,1,1,2334,0,4,1,2,4,1,3,5,5,5,5,3,5,2,0,0,1
71406,2,0,26,1,2,334,2,2,3,4,5,3,5,5,3,3,3,4,4,5,19,1,0
98225,1,1,56,2,3,842,2,3,2,5,3,2,3,3,1,5,5,5,5,3,16,9,0
102876,1,0,38,1,1,472,1,1,1,3,1,1,1,1,4,5,3,2,3,1,5,6,0
16796,1,1,44,1,2,1017,4,4,4,4,4,4,4,4,5,2,4,1,3,4,0,0,1
97639,2,1,48,1,1,1587,1,1,1,1,5,4,5,4,4,4,4,4,4,3,60,6,1
31692,1,1,47,1,2,862,5,3,3,3,5,5,5,5,1,3,3,4,1,5,74,7,1
35964,1,0,35,1,1,231,3,3,3,4,3,2,2,1,3,3,3,2,3,2,156,1.6,0
119841,2,1,53,1,2,936,3,1,2,1,1,4,3,3,3,3,3,2,3,4,2,6,0
37672,2,1,9,2,2,1074,2,2,2,3,5,2,5,5,4,5,3,1,4,5,0,0,0
6575,2,0,16,1,2,607,5,2,5,3,2,5,2,2,3,5,4,5,5,2,0,0,1
120382,1,0,40,1,1,449,4,4,4,2,3,4,3,3,5,4,4,4,4,3,4,0,1
44981,1,0,42,1,1,359,3,3,3,5,2,3,2,2,3,5,5,1,3,2,0,0,0
127477,2,1,46,1,2,2075,4,1,1,1,1,3,4,4,4,4,4,2,4,3,2,0,0
112672,2,1,41,1,1,605,3,3,3,3,2,5,5,4,4,5,4,3,4,5,11,0,1
79469,1,1,68,2,2,1183,1,5,1,1,3,1,3,3,5,4,4,3,5,3,37,8,0
80781,2,1,69,2,1,692,2,4,2,3,5,5,4,2,2,2,2,3,2,3,0,0,0
70086,2,0,23,1,1,460,4,2,4,4,4,1,1,4,4,5,4,1,5,1,381,3.4,1
30190,2,1,49,1,3,725,5,3,3,3,4,3,2,5,5,5,5,5,5,4,0,0,1
75299,1,1,36,2,3,1744,2,1,2,4,1,2,1,1,3,1,2,4,4,1,0,0,0
23128,2,1,53,1,1,223,5,5,5,5,5,5,5,4,4,4,3,4,4,2,0,0,1
83481,2,1,44,1,2,946,1,3,1,3,4,4,3,1,1,1,1,3,1,2,0,0,0
1433,2,1,40,1,1,1924,1,2,2,2,2,4,3,1,1,2,1,2,1,3,0,0,0
42785,1,1,50,1,2,1118,3,1,1,1,3,3,3,3,1,3,2,3,3,3,0,2,0
107144,2,0,35,1,1,668,4,4,4,3,4,4,4,4,3,3,5,4,5,4,82,8,0
6589,1,1,58,2,2,618,1,4,1,2,2,1,2,2,4,4,5,3,5,2,48,,0
103660,1,1,58,1,1,405,4,4,4,4,3,4,4,3,3,3,3,3,3,3,2,0,1
33968,2,0,24,1,2,1244,3,3,3,1,3,3,3,3,4,1,5,3,5,3,0,0,0
108128,1,1,54,1,1,1166,2,2,2,2,3,5,5,4,4,4,4,3,4,3,19,1,1
76343,2,0,25,1,2,954,3,3,3,2,4,3,4,4,2,3,3,3,1,4,0,0,0
79706,1,1,40,2,2,749,2,3,2,1,4,2,4,4,5,3,3,5,4,4,0,8,0
116339,,1,52,2,2,480,2,2,2,3,2,2,2,2,3,4,4,4,4,2,50,4,0
102303,,1,51,1,2,397,2,4,4,4,2,2,2,2,2,5,3,1,3,2,0,0,0
56283,,1,49,1,1,2227,3,3,3,3,5,5,4,4,4,4,4,3,4,5,21,1,1
72632,,1,36,2,2,985,1,4,1,3,2,1,4,2,5,2,4,5,4,2,0,0,0
23671,,1,31,1,2,212,4,3,3,3,4,4,4,4,2,1,4,5,2,4,19,1,1
38194,,1,67,2,2,1249,1,4,1,3,3,1,3,3,5,3,4,4,5,3,10,3,0
90119,,1,15,1,2,1022,3,3,3,3,3,3,4,3,4,2,3,2,3,3,0,0,0
16829,,1,63,2,2,645,2,1,2,4,3,2,2,3,2,2,3,1,4,3,0,0,0
41261,,1,44,2,2,1034,3,2,3,3,2,3,3,1,1,3,1,3,1,1,0,0,0
76620,,0,29,1,2,516,1,4,1,2,3,1,3,3,4,2,2,1,5,3,5,0,0
22527,,0,18,1,2,208,5,0,5,4,2,5,4,2,4,5,3,1,5,2,0,0,1
23637,,1,22,2,2,793,3,4,3,3,2,3,2,2,4,3,4,3,5,2,102,1.6,0
15218,,1,39,1,1,3601,2,2,2,2,4,5,2,4,4,4,4,1,4,3,0,0,1
120248,,1,14,2,2,1303,2,4,2,3,1,2,1,1,5,2,5,3,5,1,0,0,0
29408,,1,19,2,2,2409,5,2,4,4,1,4,1,1,3,3,4,3,4,1,0,0,1
104286,,1,49,1,1,1897,1,1,4,1,2,2,2,3,4,5,5,2,5,2,254,,1
97922,,1,39,1,1,1931,1,1,1,1,2,5,5,4,4,4,4,4,4,4,83,9,1
4045,,1,63,2,2,419,3,2,3,4,4,3,3,3,3,3,3,3,3,2,19,2,0
5313,,1,33,1,3,295,2,4,4,4,2,2,2,2,3,5,3,3,3,2,0,0,0
80170,,1,22,1,1,2475,1,2,3,2,1,1,1,1,4,4,3,4,4,1,0,0,0
65541,,1,59,1,1,175,2,2,2,2,5,5,4,5,5,5,4,4,5,3,0,0,1
87375,,1,39,1,1,3974,2,2,2,2,3,4,5,5,5,5,5,3,5,3,0,0,1
63279,,1,38,1,1,337,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,0,1
128690,,1,57,1,3,2442,3,1,5,1,3,3,3,2,3,2,4,3,2,3,6,0,0
124533,,1,45,1,1,3139,2,3,5,5,1,3,3,2,2,2,2,1,2,2,0,0,0
122669,,1,43,1,1,361,5,5,5,5,5,4,4,5,5,5,5,4,5,3,19,3,1
1242,,1,54,2,2,134,3,0,3,5,5,3,5,5,5,2,4,4,5,5,0,0,0
112768,,1,12,1,1,3386,2,3,4,4,2,3,2,2,4,3,4,3,4,2,0,0,0
48790,,1,44,1,1,2535,2,5,5,5,3,2,2,2,2,2,2,2,2,2,8,1,0
69889,,1,38,1,1,1514,2,2,2,2,3,4,4,4,4,4,4,5,4,4,7,0,1
96496,,0,65,1,2,302,2,3,2,3,4,2,4,4,1,3,3,2,4,4,0,0,0
5847,,1,22,1,1,1020,4,4,4,4,3,4,3,3,5,3,5,5,4,3,0,0,1
118397,,1,56,1,1,3893,0,1,1,2,5,4,5,3,3,3,3,4,3,3,0,0,1
39748,,1,49,1,1,2397,1,1,1,1,5,5,5,4,4,4,4,3,4,5,0,0,1
85732,,1,67,1,1,1739,2,2,2,2,5,5,4,5,5,5,5,4,5,3,23,2,1
108339,,1,48,1,2,1855,4,2,1,2,4,4,4,4,1,3,3,2,2,4,0,0,0
39953,,1,33,2,2,1195,4,2,4,3,3,4,5,3,2,4,4,1,4,3,48,3,0
51191,,1,56,1,3,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0,1
32271,,1,37,1,2,201,2,4,4,4,2,2,2,2,3,5,3,2,2,2,3,7,0
79630,,1,66,1,1,3994,3,5,5,5,5,3,4,3,3,3,3,2,3,3,0,0,0
25187,,1,34,1,1,577,3,4,4,4,5,4,4,3,3,2,3,1,3,3,27,1,0
104312,,1,8,2,1,452,1,5,1,2,4,1,4,4,4,3,4,3,5,4,0,0,0
43416,,1,34,1,3,436,3,4,4,4,3,2,3,3,3,1,3,1,4,3,0,0,0
100291,,1,44,1,1,1073,3,3,2,3,2,4,4,4,4,4,4,4,4,4,107,1.1,1
97852,,1,54,1,1,2699,4,3,4,4,3,5,4,4,4,4,4,4,4,3,0,0,1
52294,,0,27,1,2,651,4,2,4,4,5,4,5,5,2,4,3,3,3,5,0,1,0
63457,,1,55,1,1,447,4,4,4,4,5,5,5,5,5,5,5,4,5,5,0,0,1
84272,2,1,27,1,1,334,5,5,5,5,5,5,5,5,5,4,4,4,4,5,0,0,1
77695,1,0,16,1,2,689,4,4,4,5,1,4,1,1,3,2,5,5,5,1,0,0,0
110694,2,1,65,2,2,829,2,4,2,2,2,5,4,3,3,2,5,5,3,3,0,0,0
121531,2,1,30,1,1,2747,2,2,2,2,4,4,4,4,5,5,5,5,4,4,0,0,1
46878,2,1,60,1,1,2462,3,3,3,3,2,2,2,4,4,4,4,4,4,5,8,2,1
101765,1,1,28,2,2,1590,3,5,3,3,2,3,2,2,5,3,5,3,4,2,30,1,0
24384,2,1,46,1,2,269,4,4,4,4,5,1,2,4,4,4,4,1,4,1,39,3,1
73558,1,1,31,1,1,204,0,5,0,3,5,4,4,5,5,5,4,4,4,5,21,7,
44234,1,1,54,1,1,2616,1,1,5,1,2,1,5,5,5,5,3,4,5,4,0,6,
7964,2,1,44,2,2,594,3,5,3,5,1,3,4,4,4,3,4,2,4,5,0,0,
4654,2,1,43,1,1,3078,0,0,0,2,5,5,5,4,4,3,3,3,4,5,0,0,
118268,1,1,30,1,1,2926,4,5,5,5,4,4,4,4,4,5,4,4,4,4,0,0,
62145,2,1,34,1,1,2565,3,3,3,3,5,4,5,5,5,5,5,4,5,4,0,7,
50966,1,1,47,2,2,308,4,5,4,3,3,4,3,3,3,3,4,3,4,3,0,0,
110902,2,0,62,1,2,404,1,1,0,3,2,0,5,2,2,5,4,4,3,2,0,0,
89803,2,1,55,1,1,1802,3,3,3,3,2,4,5,4,4,4,4,3,4,4,1,0,
18831,2,1,44,1,1,503,1,1,5,1,4,2,2,5,5,4,5,3,5,2,0,0,
89593,1,1,44,1,1,1983,1,1,1,1,4,5,4,3,3,2,3,3,3,3,0,0,
38261,1,1,39,1,1,2131,2,2,2,2,2,3,1,4,4,4,4,2,4,5,57,4,
126567,1,1,23,1,1,1558,3,2,1,2,3,3,3,3,1,5,3,1,3,3,82,7,
63819,1,0,8,1,2,1192,3,3,3,2,3,3,5,3,1,1,3,3,2,3,0,0,
81100,1,1,30,1,1,991,4,3,4,4,4,5,4,4,5,4,4,4,5,4,0,0,
68267,2,1,34,2,2,631,2,4,2,3,2,2,2,2,5,3,5,5,5,2,0,0,0
68924,2,1,28,1,1,936,2,2,2,2,5,5,5,5,5,5,5,4,4,5,0,0,1
37135,1,1,32,1,1,1046,3,4,3,3,5,5,5,5,5,5,2,4,5,5,25,1,1
77214,2,1,61,2,1,1590,3,4,3,4,5,4,5,4,4,3,4,5,4,4,0,0,0
70282,2,1,27,1,1,2184,3,3,3,3,4,5,4,4,5,5,4,3,5,4,0,1,1
38432,2,1,47,1,3,965,4,5,5,5,3,5,2,4,4,4,4,5,4,2,41,3,1
6731,1,1,55,1,1,3934,3,3,3,3,5,5,5,4,4,4,4,4,4,3,0,0,1
43862,2,1,37,1,1,2950,0,4,0,2,4,4,4,5,5,5,5,2,5,3,0,0,1
55427,2,1,39,1,1,2521,5,5,5,5,4,4,4,4,3,5,4,4,5,4,14,2,1
89265,1,0,23,1,1,453,4,4,4,4,5,4,5,5,5,2,5,4,4,5,0,0,1
73273,2,1,56,1,1,1012,5,5,5,5,5,5,5,4,4,4,4,3,4,5,0,2,1
118327,2,1,53,1,1,3738,3,3,3,3,4,4,4,4,4,5,4,5,4,5,5,4,1
92656,2,1,9,2,2,453,4,4,4,3,3,4,3,3,1,1,4,3,5,3,0,0,0
68524,2,0,21,1,1,1013,5,0,5,3,5,5,5,5,3,4,4,4,4,5,26,2,1
97921,2,1,51,1,1,2121,2,2,2,2,3,4,4,5,5,5,5,5,5,3,88,7,1
109360,2,0,41,1,1,1189,5,5,5,4,5,1,1,5,4,4,5,1,5,1,150,1.9,1
6749,2,1,42,1,1,1956,0,4,0,2,4,5,5,3,3,3,3,4,3,3,0,0,1
60681,2,1,45,1,1,1605,1,1,1,1,5,4,4,5,5,5,5,4,5,5,0,0,1
54777,1,1,61,2,3,964,3,5,3,5,3,3,3,3,3,4,4,3,4,3,0,0,0
21111,1,1,45,2,2,152,4,5,4,1,2,4,3,2,5,4,4,3,4,2,0,0,1
62515,1,1,53,1,1,1846,3,3,3,3,4,4,4,4,4,5,4,5,4,3,10,1,1
128701,1,1,54,1,1,1464,1,0,0,4,3,3,4,5,5,0,1,3,5,3,72,5,0
16704,1,1,51,1,1,284,0,0,0,2,1,3,1,5,5,5,5,5,5,5,65,7,1
16656,1,1,39,1,2,488,3,4,4,4,3,3,3,3,1,2,4,3,4,3,3,1,0
39722,2,1,34,1,1,320,5,5,5,5,5,1,4,5,5,5,5,4,5,2,0,2,1
100150,2,0,22,1,2,725,4,4,4,4,5,4,5,5,1,5,4,4,3,5,0,0,0
15941,1,0,36,1,2,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,0
10938,1,1,48,1,2,312,3,2,2,2,3,3,3,3,1,5,2,2,3,3,0,0,0
10123,2,0,23,1,2,984,3,3,3,3,5,3,4,5,1,4,2,3,3,5,0,0,0
120033,2,1,63,2,3,511,5,5,5,5,3,4,5,3,3,5,3,4,3,4,9,0,1
84027,2,1,24,1,3,373,3,2,2,2,3,3,2,3,2,1,4,1,4,3,3,8,0
36951,2,0,16,1,2,901,1,1,1,3,5,1,5,5,3,4,4,2,4,5,0,0,0
64662,2,1,53,1,1,247,0,0,0,4,2,4,5,2,2,2,2,5,2,3,0,0,1
119194,1,1,52,1,1,3309,3,3,3,3,5,4,4,4,4,4,4,4,4,3,0,0,1
97735,1,1,48,1,1,3633,5,5,5,5,4,4,4,5,5,5,5,4,5,5,36,2,1
34879,2,1,17,2,2,2248,3,3,3,2,1,3,1,1,5,2,5,5,4,1,9,8,0
24680,2,0,45,1,2,761,1,2,2,5,5,2,5,5,1,5,4,1,4,5,0,8,0
15618,1,1,45,2,2,228,4,3,4,3,2,4,2,2,3,4,4,3,3,2,0,0,0
22606,1,1,57,1,1,250,3,2,2,2,5,3,4,3,3,3,3,2,3,2,0,0,0
72490,2,1,40,1,1,1705,1,1,1,1,5,4,5,4,4,4,4,4,4,3,0,0,1
61328,2,1,23,2,3,909,1,5,0,3,5,0,5,5,1,2,5,4,1,5,1,0,0
95664,2,1,39,1,3,845,2,4,2,2,2,2,2,2,4,3,3,1,2,2,9,0,0
21286,2,1,39,1,2,620,4,4,4,4,4,4,4,4,2,2,5,5,2,4,0,0,1
128230,2,1,62,2,2,602,1,3,1,3,3,2,2,4,4,1,4,1,4,2,0,0,0
45931,2,1,16,2,2,809,2,4,2,3,4,2,4,4,4,1,4,1,4,4,0,0,0
116744,2,1,58,2,3,371,3,5,3,3,1,4,4,1,1,3,1,5,1,2,0,0,0
5196,2,1,49,1,1,2788,4,4,4,4,2,4,4,4,4,4,4,4,4,4,0,0,1
32975,2,1,50,2,2,163,3,4,3,1,4,4,5,4,4,3,5,5,4,3,0,0,0
95713,2,1,42,1,1,3698,4,1,1,1,5,4,4,4,4,4,4,4,4,1,1,4,0
34591,1,1,43,1,2,1617,4,5,5,5,4,4,4,4,4,2,5,3,5,4,0,0,1
81225,2,1,46,1,1,1426,4,4,4,4,2,5,4,5,5,5,5,3,5,5,0,0,1
48963,1,1,61,1,1,109,1,1,1,1,3,2,2,4,4,4,3,5,4,3,0,0,1
46627,2,0,24,1,2,125,2,2,2,3,2,2,2,2,4,1,3,1,2,2,0,0,0
56448,2,1,21,2,2,719,2,3,2,3,3,2,2,3,4,3,3,3,3,3,5,0,0
68965,2,1,60,1,1,1751,3,3,3,3,4,4,4,5,5,5,5,5,5,5,0,5,1
65448,2,0,28,,1,1303,4,4,4,3,3,4,3,3,5,4,4,5,5,3,0,0,0
2581,2,1,66,,1,280,3,3,3,3,1,2,5,4,4,4,4,5,4,4,0,0,1
109935,1,1,69,,2,1052,1,4,1,4,5,1,2,5,3,4,5,3,4,5,70,5,0
